DATE,TAVG,TMAX,TMIN
1/1/21,1,2.2,-1.6
1/2/21,3.8,5.6,0
1/3/21,0.4,2.2,-1.6
1/4/21,0.9,3.9,-0.5
1/5/21,-0.2,0.6,-1
1/6/21,0.5,4.4,-1
1/7/21,1.2,5.6,-1.6
1/8/21,-0.1,5,-3.2
1/9/21,-1.6,2.2,-4.3
1/10/21,0.6,5,-2.7
1/11/21,-0.3,2.2,-4.3
1/12/21,0.8,5.6,-2.7
1/13/21,1.8,4.4,-0.5
1/14/21,1.8,3.9,-0.5
1/15/21,2.2,5,0.6
1/16/21,5.8,11.1,2.8
1/17/21,3.8,6.1,1.1
1/18/21,4.4,7.2,-0.5
1/19/21,0.6,5,-2.7
1/20/21,1.1,3.3,-3.8
1/21/21,-3.3,0,-6
1/22/21,1.7,6.1,-1
1/23/21,-0.8,1.1,-8.2
1/24/21,-5.6,-0.5,-8.8
1/25/21,-3.5,2.2,-7.1
1/26/21,-2.1,1.7,-5.5
1/27/21,-0.9,2.2,-2.1
1/28/21,-0.6,0.6,-8.8
1/29/21,-9.6,-7.7,-13.8
1/30/21,-10.4,-6.6,-13.2
1/31/21,-9.9,-4.9,-13.8
2/1/21,-2.8,1.7,-5.5
2/2/21,0.1,4.4,-1
2/3/21,-0.6,1.1,-2.1
2/4/21,0.3,2.8,-1.6
2/5/21,0.2,5,-3.2
2/6/21,2.1,5.6,-1
2/7/21,0.1,2.8,-3.2
2/8/21,-4.1,-1.6,-7.1
2/9/21,-4.3,-2.7,-6
2/10/21,-3.8,-0.5,-6.6
2/11/21,-3.9,-1,-7.1
2/12/21,-7.2,-2.7,-11.6
2/13/21,-5.2,-1.6,-8.2
2/14/21,-1.8,0.6,-3.2
2/15/21,-0.8,0,-2.7
2/16/21,0.8,4.4,-1
2/17/21,-1.8,0,-4.9
2/18/21,-2.9,-0.5,-4.3
2/19/21,-2.3,-1,-3.8
2/20/21,-2.6,-0.5,-4.9
2/21/21,-3.4,0.6,-7.1
2/22/21,-1.6,4.4,-7.1
2/23/21,3.1,6.1,1.1
2/24/21,5.4,10,2.8
2/25/21,6.4,8.3,0.6
2/26/21,0.8,4.4,-2.1
2/27/21,1.9,8.3,-1
2/28/21,4.2,6.7,2.2
3/1/21,3.9,6.7,-3.2
3/2/21,-4.8,-2.1,-10.5
3/3/21,0.3,10,-4.9
3/4/21,4.1,6.1,-2.7
3/5/21,-1.5,2.2,-4.3
3/6/21,-1.9,2.2,-5.5
3/7/21,-1.4,3.3,-5.5
3/8/21,0.1,3.3,-3.8
3/9/21,7,16.1,2.2
3/10/21,5.9,8.9,1.1
3/11/21,9.9,23.3,2.2
3/12/21,14.9,18.3,8.3
3/13/21,6.6,9.4,0
3/14/21,4.8,9.4,-4.3
3/15/21,-4.6,-1,-8.2
3/16/21,-3.3,2.2,-6.6
3/17/21,4.2,11.7,-0.5
3/18/21,6.2,9.4,3.3
3/19/21,3.8,6.7,-0.5
3/20/21,6.3,16.1,0
3/21/21,8.9,14.4,2.2
3/22/21,8,14.4,1.7
3/23/21,8.8,13.9,3.3
3/24/21,8.7,11.7,4.4
3/25/21,10.4,16.7,7.8
3/26/21,14.8,21.1,11.7
3/27/21,11.6,15,6.1
3/28/21,7.6,15,5.6
3/29/21,10.3,12.2,5.6
3/30/21,8.2,15.6,2.2
3/31/21,13.1,21.1,6.7
4/1/21,10.3,14.4,1.7
4/2/21,1.7,5,-1.6
4/3/21,3.1,10,-1
4/4/21,8.6,16.7,0.6
4/5/21,11.2,14.4,8.3
4/6/21,10.9,16.1,7.8
4/7/21,10.9,14.4,7.8
4/8/21,11.6,13.3,7.2
4/9/21,10.3,15,6.7
4/10/21,14.8,25.6,8.9
4/11/21,11.4,15.6,7.2
4/12/21,8.3,10.6,6.1
4/13/21,9.6,14.4,6.7
4/14/21,9.4,10.6,7.8
4/15/21,8.9,12.2,5.6
4/16/21,5.7,7.2,1.7
4/17/21,5.7,10.6,3.9
4/18/21,10.6,17.2,6.7
4/19/21,12.3,17.2,8.9
4/20/21,16.7,24.4,10.6
4/21/21,15.2,22.2,3.3
4/22/21,5.3,8.3,1.1
4/23/21,8.6,15.6,3.3
4/24/21,15.9,23.3,10
4/25/21,13,13.9,10
4/26/21,10.9,13.9,8.3
4/27/21,11.7,20.6,7.2
4/28/21,13.1,15.6,9.4
4/29/21,9.6,10,8.9
4/30/21,12.8,18.3,6.1
5/1/21,11.8,18.3,6.7
5/2/21,16.8,25,10
5/3/21,15.8,18.3,10
5/4/21,10.2,12.8,8.9
5/5/21,9.6,10,8.9
5/6/21,13.6,19.4,10
5/7/21,12.3,13.3,8.9
5/8/21,10.1,12.8,7.8
5/9/21,14.6,20.6,9.4
5/10/21,13,17.2,9.4
5/11/21,14.9,18.9,10.6
5/12/21,14.1,20.6,8.9
5/13/21,15.8,21.7,10.6
5/14/21,18.2,25,13.3
5/15/21,19.6,23.3,16.1
5/16/21,19.8,26.1,14.4
5/17/21,17.8,23.9,12.2
5/18/21,21.5,28.9,15
5/19/21,21.2,22.2,14.4
5/20/21,17.1,20.6,12.8
5/21/21,19.2,27.8,13.3
5/22/21,22.6,31.7,16.7
5/23/21,25.9,32.2,16.7
5/24/21,17.3,19.4,12.8
5/25/21,17.7,26.1,11.7
5/26/21,23.6,33.3,17.2
5/27/21,23.9,28.3,16.7
5/28/21,14.9,16.7,7.2
5/29/21,9.4,10.6,8.3
5/30/21,10.3,10.6,10
5/31/21,12.6,16.7,10.6
6/1/21,18.6,25,12.2
6/2/21,20.8,26.1,14.4
6/3/21,19.7,24.4,15.6
6/4/21,22.5,27.2,18.9
6/5/21,24.8,32.8,17.2
6/6/21,29.3,34.4,21.1
6/7/21,29.6,35.6,22.8
6/8/21,28.8,35,23.9
6/9/21,27.3,33.3,23.3
6/10/21,21.9,24.4,15
6/11/21,16.4,18.9,13.9
6/12/21,17.8,21.7,15.6
6/13/21,22.4,29.4,16.7
6/14/21,18.8,21.1,15.6
6/15/21,19.3,22.8,16.7
6/16/21,20.4,25,17.2
6/17/21,21.4,26.7,15.6
6/18/21,23.3,29.4,15.6
6/19/21,25.5,32.8,20.6
6/20/21,26.3,31.7,21.7
6/21/21,25.8,30.6,20.6
6/22/21,24.4,30.6,17.2
6/23/21,18.8,23.9,15
6/24/21,18.9,23.3,15
6/25/21,17.8,21.1,16.1
6/26/21,23.1,30,18.9
6/27/21,27.1,31.7,23.3
6/28/21,29.4,36.1,23.9
6/29/21,31.5,37.2,26.1
6/30/21,31,37.8,22.2
7/1/21,25.4,29.4,20
7/2/21,18.3,20.6,15
7/3/21,15.1,15.6,13.9
7/4/21,15.9,20,14.4
7/5/21,18.1,25.6,13.9
7/6/21,24.9,33.3,20.6
7/7/21,26.9,33.3,21.1
7/8/21,20.6,21.7,17.8
7/9/21,19.6,25.6,17.2
7/10/21,21.9,23.3,17.8
7/11/21,21.7,27.8,16.7
7/12/21,20.4,21.7,18.3
7/13/21,19.4,21.1,18.3
7/14/21,20.5,25.6,18.9
7/15/21,23.4,26.1,21.7
7/16/21,27.4,35,23.3
7/17/21,24.4,26.1,21.1
7/18/21,21.5,23.3,19.4
7/19/21,20.3,22.8,19.4
7/20/21,25.1,31.1,20
7/21/21,25.5,28.9,20
7/22/21,22.3,25.6,18.3
7/23/21,23,26.7,20.6
7/24/21,22.1,25,17.8
7/25/21,22.1,24.4,20.6
7/26/21,26.5,33.9,21.1
7/27/21,26.7,30.6,20.6
7/28/21,21.1,23.9,18.9
7/29/21,22.1,27.2,18.9
7/30/21,23.3,28.9,18.3
7/31/21,20.7,26.1,16.1
8/1/21,21.6,25.6,16.7
8/2/21,23.2,28.3,18.9
8/3/21,22.6,25,18.3
8/4/21,22,23.9,18.3
8/5/21,19.4,21.7,18.3
8/6/21,23.9,31.7,19.4
8/7/21,26.7,33.3,21.7
8/8/21,25.7,28.9,21.7
8/9/21,22.2,23.9,20
8/10/21,21,24.4,19.4
8/11/21,27.2,33.9,22.8
8/12/21,29.1,35.6,24.4
8/13/21,28.6,32.8,24.4
8/14/21,29.3,33.3,25.6
8/15/21,25,26.7,21.1
8/16/21,22.3,25.6,18.3
8/17/21,23.9,29.4,19.4
8/18/21,25.8,31.7,22.2
8/19/21,25.1,30.6,22.8
8/20/21,24.8,26.7,22.8
8/21/21,25,28.3,22.2
8/22/21,22.4,23.9,21.1
8/23/21,22.6,24.4,20.6
8/24/21,25.1,32.8,21.7
8/25/21,29,34.4,24.4
8/26/21,29.3,35.6,23.9
8/27/21,28.6,32.2,23.3
8/28/21,22.1,23.9,17.8
8/29/21,19.8,22.8,17.8
8/30/21,25.2,31.1,21.7
8/31/21,26.2,28.9,22.8
9/1/21,22.5,23.9,16.1
9/2/21,19,25,16.1
9/3/21,19.7,25,15
9/4/21,21.7,27.2,17.2
9/5/21,21,23.3,17.8
9/6/21,23.8,28.9,20.6
9/7/21,23.1,27.8,18.3
9/8/21,23.4,29.4,17.8
9/9/21,23.6,24.4,20
9/10/21,21.8,26.1,17.2
9/11/21,20.3,26.1,15
9/12/21,22.8,28.3,18.3
9/13/21,24.7,27.8,18.9
9/14/21,20.7,22.8,17.2
9/15/21,24,30,20
9/16/21,21.9,23.9,18.3
9/17/21,19.3,21.1,18.3
9/18/21,20.1,23.3,18.9
9/19/21,20.4,22.2,16.7
9/20/21,18.3,22.2,13.9
9/21/21,18.3,22.8,13.9
9/22/21,22.2,26.7,18.9
9/23/21,22.8,27.8,19.4
9/24/21,23.2,26.7,20.6
9/25/21,21.1,23.9,18.3
9/26/21,20.4,25,16.1
9/27/21,19.6,24.4,14.4
9/28/21,20.7,21.7,14.4
9/29/21,15.7,18.9,11.1
9/30/21,15,17.8,11.7
10/1/21,14.8,20.6,10.6
10/2/21,17.4,24.4,11.1
10/3/21,17.6,20,15
10/4/21,16.2,17.2,12.8
10/5/21,14.4,17.2,12.2
10/6/21,16.4,20,13.3
10/7/21,17.7,23.3,13.3
10/8/21,18.3,21.7,15
10/9/21,17.1,18.9,16.1
10/10/21,17.1,18.9,16.1
10/11/21,18,20.6,15.6
10/12/21,18.1,23.9,13.9
10/13/21,19.8,25.6,15.6
10/14/21,19.2,23.9,15.6
10/15/21,18.1,20.6,15.6
10/16/21,20.4,24.4,16.7
10/17/21,16.7,18.3,11.1
10/18/21,12.6,16.7,8.3
10/19/21,11.5,17.2,7.8
10/20/21,15.7,22.2,12.2
10/21/21,18.9,23.9,14.4
10/22/21,18.3,22.2,12.8
10/23/21,13,15.6,9.4
10/24/21,10.2,14.4,6.7
10/25/21,11.4,13.3,10
10/26/21,13.7,15.6,10
10/27/21,10.3,11.1,8.3
10/28/21,8.7,10,6.1
10/29/21,7.6,11.1,5
10/30/21,12.4,15,11.1
10/31/21,15.2,19.4,11.7
11/1/21,13.1,15.6,8.3
11/2/21,10.6,13.9,7.2
11/3/21,8.9,11.1,4.4
11/4/21,5.9,9.4,2.2
11/5/21,6.7,10.6,2.8
11/6/21,6.2,10.6,2.2
11/7/21,6.5,12.2,1.1
11/8/21,9.1,15.6,4.4
11/9/21,12.1,21.1,5.6
11/10/21,13.4,16.7,8.9
11/11/21,9.3,11.7,5
11/12/21,12.6,17.2,9.4
11/13/21,10.9,13.9,5
11/14/21,6.7,10,2.8
11/15/21,7,9.4,4.4
11/16/21,5.6,9.4,2.8
11/17/21,4.9,11.1,1.1
11/18/21,13.8,21.1,11.1
11/19/21,9.3,12.8,2.8
11/20/21,3.7,6.7,0.6
11/21/21,6.7,12.2,3.9
11/22/21,11.4,13.9,2.8
11/23/21,2.6,4.4,-2.1
11/24/21,0.6,6.1,-2.7
11/25/21,5.7,12.2,1.7
11/26/21,7.4,8.3,1.7
11/27/21,1.9,3.9,-1
11/28/21,0.6,3.3,-1.6
11/29/21,2.3,5,-1.6
11/30/21,0.1,5,-3.2
12/1/21,3.8,7.8,0.6
12/2/21,7.6,15.6,2.2
12/3/21,6.4,7.2,0.6
12/4/21,1.6,5.6,-2.1
12/5/21,5.1,8.3,3.3
12/6/21,9.4,16.7,5.6
12/7/21,6.6,7.2,1.1
12/8/21,1.8,2.8,-2.1
12/9/21,-0.3,3.3,-3.2
12/10/21,1.8,6.7,-2.1
12/11/21,6.2,17.8,1.7
12/12/21,9.8,16.7,3.3
12/13/21,5.9,11.1,2.8
12/14/21,8,10.6,1.7
12/15/21,3.5,7.2,0
12/16/21,10.9,15.6,7.2
12/17/21,12.9,15.6,5.6
12/18/21,4.8,6.1,0.6
12/19/21,2.5,6.7,-4.9
12/20/21,-3.6,0.6,-6.6
12/21/21,1.7,6.7,-1
12/22/21,3.9,6.1,0.6
12/23/21,-0.3,0.6,-4.4
12/24/21,-3.4,-1.1,-5
12/25/21,-0.4,2.2,-2.2
12/26/21,2,4.4,0.6
12/27/21,0.6,1.7,-1.1
12/28/21,2.9,7.8,0.6
12/29/21,4.6,5.6,2.2
12/30/21,4.4,5.6,3.3
12/31/21,5.6,7.8,4.4