"id","Geographic Area Name","Estimate Date","Population"
"0500000US25001","Barnstable County, Massachusetts","4/1/2010 Census population","215888"
"0500000US25001","Barnstable County, Massachusetts","4/1/2010 population estimates base","215880"
"0500000US25001","Barnstable County, Massachusetts","7/1/2010 population estimate","215899"
"0500000US25001","Barnstable County, Massachusetts","7/1/2011 population estimate","215356"
"0500000US25001","Barnstable County, Massachusetts","7/1/2012 population estimate","214788"
"0500000US25001","Barnstable County, Massachusetts","7/1/2013 population estimate","214518"
"0500000US25001","Barnstable County, Massachusetts","7/1/2014 population estimate","214289"
"0500000US25001","Barnstable County, Massachusetts","7/1/2015 population estimate","213877"
"0500000US25001","Barnstable County, Massachusetts","7/1/2016 population estimate","213559"
"0500000US25001","Barnstable County, Massachusetts","7/1/2017 population estimate","213581"
"0500000US25001","Barnstable County, Massachusetts","7/1/2018 population estimate","213471"
"0500000US25001","Barnstable County, Massachusetts","7/1/2019 population estimate","212990"
"0500000US25003","Berkshire County, Massachusetts","4/1/2010 Census population","131219"
"0500000US25003","Berkshire County, Massachusetts","4/1/2010 population estimates base","131274"
"0500000US25003","Berkshire County, Massachusetts","7/1/2010 population estimate","131317"
"0500000US25003","Berkshire County, Massachusetts","7/1/2011 population estimate","130547"
"0500000US25003","Berkshire County, Massachusetts","7/1/2012 population estimate","130284"
"0500000US25003","Berkshire County, Massachusetts","7/1/2013 population estimate","129488"
"0500000US25003","Berkshire County, Massachusetts","7/1/2014 population estimate","128856"
"0500000US25003","Berkshire County, Massachusetts","7/1/2015 population estimate","127858"
"0500000US25003","Berkshire County, Massachusetts","7/1/2016 population estimate","127067"
"0500000US25003","Berkshire County, Massachusetts","7/1/2017 population estimate","126353"
"0500000US25003","Berkshire County, Massachusetts","7/1/2018 population estimate","125901"
"0500000US25003","Berkshire County, Massachusetts","7/1/2019 population estimate","124944"
"0500000US25005","Bristol County, Massachusetts","4/1/2010 Census population","548285"
"0500000US25005","Bristol County, Massachusetts","4/1/2010 population estimates base","548242"
"0500000US25005","Bristol County, Massachusetts","7/1/2010 population estimate","549166"
"0500000US25005","Bristol County, Massachusetts","7/1/2011 population estimate","549308"
"0500000US25005","Bristol County, Massachusetts","7/1/2012 population estimate","551120"
"0500000US25005","Bristol County, Massachusetts","7/1/2013 population estimate","552379"
"0500000US25005","Bristol County, Massachusetts","7/1/2014 population estimate","555090"
"0500000US25005","Bristol County, Massachusetts","7/1/2015 population estimate","556863"
"0500000US25005","Bristol County, Massachusetts","7/1/2016 population estimate","558070"
"0500000US25005","Bristol County, Massachusetts","7/1/2017 population estimate","560941"
"0500000US25005","Bristol County, Massachusetts","7/1/2018 population estimate","564092"
"0500000US25005","Bristol County, Massachusetts","7/1/2019 population estimate","565217"
"0500000US25007","Dukes County, Massachusetts","4/1/2010 Census population","16535"
"0500000US25007","Dukes County, Massachusetts","4/1/2010 population estimates base","16535"
"0500000US25007","Dukes County, Massachusetts","7/1/2010 population estimate","16572"
"0500000US25007","Dukes County, Massachusetts","7/1/2011 population estimate","16697"
"0500000US25007","Dukes County, Massachusetts","7/1/2012 population estimate","16829"
"0500000US25007","Dukes County, Massachusetts","7/1/2013 population estimate","17159"
"0500000US25007","Dukes County, Massachusetts","7/1/2014 population estimate","17297"
"0500000US25007","Dukes County, Massachusetts","7/1/2015 population estimate","17274"
"0500000US25007","Dukes County, Massachusetts","7/1/2016 population estimate","17315"
"0500000US25007","Dukes County, Massachusetts","7/1/2017 population estimate","17311"
"0500000US25007","Dukes County, Massachusetts","7/1/2018 population estimate","17329"
"0500000US25007","Dukes County, Massachusetts","7/1/2019 population estimate","17332"
"0500000US25009","Essex County, Massachusetts","4/1/2010 Census population","743159"
"0500000US25009","Essex County, Massachusetts","4/1/2010 population estimates base","743082"
"0500000US25009","Essex County, Massachusetts","7/1/2010 population estimate","745461"
"0500000US25009","Essex County, Massachusetts","7/1/2011 population estimate","751507"
"0500000US25009","Essex County, Massachusetts","7/1/2012 population estimate","757338"
"0500000US25009","Essex County, Massachusetts","7/1/2013 population estimate","764563"
"0500000US25009","Essex County, Massachusetts","7/1/2014 population estimate","771653"
"0500000US25009","Essex County, Massachusetts","7/1/2015 population estimate","776865"
"0500000US25009","Essex County, Massachusetts","7/1/2016 population estimate","779847"
"0500000US25009","Essex County, Massachusetts","7/1/2017 population estimate","784453"
"0500000US25009","Essex County, Massachusetts","7/1/2018 population estimate","788183"
"0500000US25009","Essex County, Massachusetts","7/1/2019 population estimate","789034"
"0500000US25011","Franklin County, Massachusetts","4/1/2010 Census population","71372"
"0500000US25011","Franklin County, Massachusetts","4/1/2010 population estimates base","71381"
"0500000US25011","Franklin County, Massachusetts","7/1/2010 population estimate","71369"
"0500000US25011","Franklin County, Massachusetts","7/1/2011 population estimate","71692"
"0500000US25011","Franklin County, Massachusetts","7/1/2012 population estimate","71687"
"0500000US25011","Franklin County, Massachusetts","7/1/2013 population estimate","71361"
"0500000US25011","Franklin County, Massachusetts","7/1/2014 population estimate","71298"
"0500000US25011","Franklin County, Massachusetts","7/1/2015 population estimate","70866"
"0500000US25011","Franklin County, Massachusetts","7/1/2016 population estimate","70622"
"0500000US25011","Franklin County, Massachusetts","7/1/2017 population estimate","70605"
"0500000US25011","Franklin County, Massachusetts","7/1/2018 population estimate","70611"
"0500000US25011","Franklin County, Massachusetts","7/1/2019 population estimate","70180"
"0500000US25013","Hampden County, Massachusetts","4/1/2010 Census population","463490"
"0500000US25013","Hampden County, Massachusetts","4/1/2010 population estimates base","463615"
"0500000US25013","Hampden County, Massachusetts","7/1/2010 population estimate","464237"
"0500000US25013","Hampden County, Massachusetts","7/1/2011 population estimate","466171"
"0500000US25013","Hampden County, Massachusetts","7/1/2012 population estimate","466955"
"0500000US25013","Hampden County, Massachusetts","7/1/2013 population estimate","467747"
"0500000US25013","Hampden County, Massachusetts","7/1/2014 population estimate","469455"
"0500000US25013","Hampden County, Massachusetts","7/1/2015 population estimate","469113"
"0500000US25013","Hampden County, Massachusetts","7/1/2016 population estimate","467778"
"0500000US25013","Hampden County, Massachusetts","7/1/2017 population estimate","467705"
"0500000US25013","Hampden County, Massachusetts","7/1/2018 population estimate","468388"
"0500000US25013","Hampden County, Massachusetts","7/1/2019 population estimate","466372"
"0500000US25015","Hampshire County, Massachusetts","4/1/2010 Census population","158080"
"0500000US25015","Hampshire County, Massachusetts","4/1/2010 population estimates base","158063"
"0500000US25015","Hampshire County, Massachusetts","7/1/2010 population estimate","159329"
"0500000US25015","Hampshire County, Massachusetts","7/1/2011 population estimate","160154"
"0500000US25015","Hampshire County, Massachusetts","7/1/2012 population estimate","160419"
"0500000US25015","Hampshire County, Massachusetts","7/1/2013 population estimate","160856"
"0500000US25015","Hampshire County, Massachusetts","7/1/2014 population estimate","160918"
"0500000US25015","Hampshire County, Massachusetts","7/1/2015 population estimate","160709"
"0500000US25015","Hampshire County, Massachusetts","7/1/2016 population estimate","161404"
"0500000US25015","Hampshire County, Massachusetts","7/1/2017 population estimate","161077"
"0500000US25015","Hampshire County, Massachusetts","7/1/2018 population estimate","161139"
"0500000US25015","Hampshire County, Massachusetts","7/1/2019 population estimate","160830"
"0500000US25017","Middlesex County, Massachusetts","4/1/2010 Census population","1503085"
"0500000US25017","Middlesex County, Massachusetts","4/1/2010 population estimates base","1503133"
"0500000US25017","Middlesex County, Massachusetts","7/1/2010 population estimate","1507681"
"0500000US25017","Middlesex County, Massachusetts","7/1/2011 population estimate","1524848"
"0500000US25017","Middlesex County, Massachusetts","7/1/2012 population estimate","1542867"
"0500000US25017","Middlesex County, Massachusetts","7/1/2013 population estimate","1560204"
"0500000US25017","Middlesex County, Massachusetts","7/1/2014 population estimate","1574993"
"0500000US25017","Middlesex County, Massachusetts","7/1/2015 population estimate","1585432"
"0500000US25017","Middlesex County, Massachusetts","7/1/2016 population estimate","1594664"
"0500000US25017","Middlesex County, Massachusetts","7/1/2017 population estimate","1603943"
"0500000US25017","Middlesex County, Massachusetts","7/1/2018 population estimate","1608470"
"0500000US25017","Middlesex County, Massachusetts","7/1/2019 population estimate","1611699"
"0500000US25019","Nantucket County, Massachusetts","4/1/2010 Census population","10172"
"0500000US25019","Nantucket County, Massachusetts","4/1/2010 population estimates base","10172"
"0500000US25019","Nantucket County, Massachusetts","7/1/2010 population estimate","10168"
"0500000US25019","Nantucket County, Massachusetts","7/1/2011 population estimate","10133"
"0500000US25019","Nantucket County, Massachusetts","7/1/2012 population estimate","10313"
"0500000US25019","Nantucket County, Massachusetts","7/1/2013 population estimate","10569"
"0500000US25019","Nantucket County, Massachusetts","7/1/2014 population estimate","10839"
"0500000US25019","Nantucket County, Massachusetts","7/1/2015 population estimate","10940"
"0500000US25019","Nantucket County, Massachusetts","7/1/2016 population estimate","11100"
"0500000US25019","Nantucket County, Massachusetts","7/1/2017 population estimate","11205"
"0500000US25019","Nantucket County, Massachusetts","7/1/2018 population estimate","11198"
"0500000US25019","Nantucket County, Massachusetts","7/1/2019 population estimate","11399"
"0500000US25021","Norfolk County, Massachusetts","4/1/2010 Census population","670850"
"0500000US25021","Norfolk County, Massachusetts","4/1/2010 population estimates base","670910"
"0500000US25021","Norfolk County, Massachusetts","7/1/2010 population estimate","673019"
"0500000US25021","Norfolk County, Massachusetts","7/1/2011 population estimate","677782"
"0500000US25021","Norfolk County, Massachusetts","7/1/2012 population estimate","682865"
"0500000US25021","Norfolk County, Massachusetts","7/1/2013 population estimate","688345"
"0500000US25021","Norfolk County, Massachusetts","7/1/2014 population estimate","692239"
"0500000US25021","Norfolk County, Massachusetts","7/1/2015 population estimate","694502"
"0500000US25021","Norfolk County, Massachusetts","7/1/2016 population estimate","697079"
"0500000US25021","Norfolk County, Massachusetts","7/1/2017 population estimate","700599"
"0500000US25021","Norfolk County, Massachusetts","7/1/2018 population estimate","703230"
"0500000US25021","Norfolk County, Massachusetts","7/1/2019 population estimate","706775"
"0500000US25023","Plymouth County, Massachusetts","4/1/2010 Census population","494919"
"0500000US25023","Plymouth County, Massachusetts","4/1/2010 population estimates base","494932"
"0500000US25023","Plymouth County, Massachusetts","7/1/2010 population estimate","495926"
"0500000US25023","Plymouth County, Massachusetts","7/1/2011 population estimate","498184"
"0500000US25023","Plymouth County, Massachusetts","7/1/2012 population estimate","499495"
"0500000US25023","Plymouth County, Massachusetts","7/1/2013 population estimate","502792"
"0500000US25023","Plymouth County, Massachusetts","7/1/2014 population estimate","506513"
"0500000US25023","Plymouth County, Massachusetts","7/1/2015 population estimate","509221"
"0500000US25023","Plymouth County, Massachusetts","7/1/2016 population estimate","512207"
"0500000US25023","Plymouth County, Massachusetts","7/1/2017 population estimate","515461"
"0500000US25023","Plymouth County, Massachusetts","7/1/2018 population estimate","518422"
"0500000US25023","Plymouth County, Massachusetts","7/1/2019 population estimate","521202"
"0500000US25025","Suffolk County, Massachusetts","4/1/2010 Census population","722023"
"0500000US25025","Suffolk County, Massachusetts","4/1/2010 population estimates base","722183"
"0500000US25025","Suffolk County, Massachusetts","7/1/2010 population estimate","725772"
"0500000US25025","Suffolk County, Massachusetts","7/1/2011 population estimate","737141"
"0500000US25025","Suffolk County, Massachusetts","7/1/2012 population estimate","751103"
"0500000US25025","Suffolk County, Massachusetts","7/1/2013 population estimate","762488"
"0500000US25025","Suffolk County, Massachusetts","7/1/2014 population estimate","773630"
"0500000US25025","Suffolk County, Massachusetts","7/1/2015 population estimate","782591"
"0500000US25025","Suffolk County, Massachusetts","7/1/2016 population estimate","792576"
"0500000US25025","Suffolk County, Massachusetts","7/1/2017 population estimate","800806"
"0500000US25025","Suffolk County, Massachusetts","7/1/2018 population estimate","803147"
"0500000US25025","Suffolk County, Massachusetts","7/1/2019 population estimate","803907"
"0500000US25027","Worcester County, Massachusetts","4/1/2010 Census population","798552"
"0500000US25027","Worcester County, Massachusetts","4/1/2010 population estimates base","798383"
"0500000US25027","Worcester County, Massachusetts","7/1/2010 population estimate","800391"
"0500000US25027","Worcester County, Massachusetts","7/1/2011 population estimate","804063"
"0500000US25027","Worcester County, Massachusetts","7/1/2012 population estimate","806942"
"0500000US25027","Worcester County, Massachusetts","7/1/2013 population estimate","810846"
"0500000US25027","Worcester County, Massachusetts","7/1/2014 population estimate","815526"
"0500000US25027","Worcester County, Massachusetts","7/1/2015 population estimate","818117"
"0500000US25027","Worcester County, Massachusetts","7/1/2016 population estimate","820320"
"0500000US25027","Worcester County, Massachusetts","7/1/2017 population estimate","825749"
"0500000US25027","Worcester County, Massachusetts","7/1/2018 population estimate","829054"
"0500000US25027","Worcester County, Massachusetts","7/1/2019 population estimate","830622"
